"title","year","length","budget","rating","votes","mpaa"
"$windle",2002,93,NA,5.3,200,"R"
"'A' gai waak",1983,106,NA,7.1,1259,"PG-13"
"'A' gai waak juk jaap",1987,101,NA,7.2,614,"PG-13"
"'R Xmas",2001,83,NA,4.9,288,"R"
"'Til There Was You",1997,113,23000000,4.8,799,"PG-13"
"10 Things I Hate About You",1999,97,16000000,6.7,19095,"PG-13"
"100 Girls",2000,90,NA,5.8,3349,"R"
"100 Mile Rule",2002,98,1100000,5.6,181,"R"
"11:11",2004,95,NA,4.3,222,"R"
"13 Dead Men",2003,85,NA,2.2,69,"R"
"13 Going On 30",2004,98,37000000,6.4,7859,"PG-13"
"13 Moons",2002,93,NA,5.6,196,"R"
"13th Warrior, The",1999,102,85000000,6.1,14344,"R"
"15 Minutes",2001,120,42000000,6.1,10866,"R"
"1776",1972,180,4000000,7.3,1754,"PG"
"18 Shades of Dust",1999,87,NA,4.5,43,"R"
"19 Months",2002,77,NA,5.3,51,"R"
"1999",1998,92,NA,5.3,93,"R"
"2 Days in the Valley",1996,104,NA,6.4,5057,"R"
"2 Fast 2 Furious",2003,107,76000000,5.1,9556,"PG-13"
"20 Dates",1998,87,60000,5.4,841,"R"
"200 Cigarettes",1999,101,6000000,5.4,4514,"R"
"2001 Yonggary",1999,99,NA,3.1,241,"PG-13"
"2001: A Space Travesty",2000,99,26000000,2.5,2023,"R"
"2009: Lost Memories",2002,136,NA,6.6,639,"R"
"2046",2004,129,12000000,7.6,2663,"R"
"21 Grams",2003,124,20000000,8,21857,"R"
"24 7: Twenty Four Seven",1997,96,NA,6.7,504,"R"
"24 Hour Party People",2002,117,NA,7.2,3603,"R"
"24 Hour Woman, The",1999,93,2500000,5.6,149,"R"
"24 Hours in London",2000,90,NA,3.8,242,"R"
"24th Day, The",2004,92,NA,6.4,502,"R"
"25th Hour",2002,135,15000000,7.8,15788,"R"
"28 Days",2000,103,43000000,6,7465,"PG-13"
"28 Days Later...",2002,113,8000000,7.3,24174,"R"
"29 Palms",2002,93,NA,4.7,406,"R"
"2BPerfectlyHonest",2004,88,NA,7.3,17,"R"
"3 Ninjas Knuckle Up",1995,85,NA,2.9,324,"PG-13"
"3 Ninjas: High Noon at Mega Mountain",1998,93,NA,2.2,744,"PG"
